INFO 2025-09-19 07:55:33,074 django.utils.autoreload run_with_reloader 667 Watching for file changes with StatReloader
INFO 2025-09-19 07:57:50,138 django.utils.autoreload trigger_reload 265 C:\project\School-Management\school_management\api\serializers.py changed, reloading.
INFO 2025-09-19 07:57:53,142 django.utils.autoreload run_with_reloader 667 Watching for file changes with StatReloader
INFO 2025-09-19 07:57:58,800 django.utils.autoreload trigger_reload 265 C:\project\School-Management\school_management\api\serializers.py changed, reloading.
INFO 2025-09-19 07:58:01,815 django.utils.autoreload run_with_reloader 667 Watching for file changes with StatReloader
INFO 2025-09-19 08:18:51,456 django.server log_message 212 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-09-19 08:18:52,045 django.server log_message 212 "POST /api/auth/login/ HTTP/1.1" 200 638
INFO 2025-09-19 08:18:52,077 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:18:52,079 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 08:18:52,088 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
INFO 2025-09-19 08:18:52,088 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 08:18:52,100 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:18:52,105 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 08:18:52,109 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 08:18:52,113 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
INFO 2025-09-19 08:18:52,113 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
WARNING 2025-09-19 08:18:52,126 django.request log_response 246 Forbidden: /api/users/
WARNING 2025-09-19 08:18:52,127 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 08:18:52,133 django.server log_message 212 "GET /api/attendance/ HTTP/1.1" 200 2
INFO 2025-09-19 08:18:52,149 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
WARNING 2025-09-19 08:18:52,394 django.request log_response 246 Forbidden: /api/users/
WARNING 2025-09-19 08:18:52,396 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 08:18:52,398 django.server log_message 212 "GET /api/attendance/ HTTP/1.1" 200 2
INFO 2025-09-19 08:18:52,827 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
INFO 2025-09-19 08:18:52,887 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
INFO 2025-09-19 08:19:05,759 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 08:19:05,759 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
WARNING 2025-09-19 08:19:05,766 django.request log_response 246 Forbidden: /api/users/
WARNING 2025-09-19 08:19:05,769 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
WARNING 2025-09-19 08:19:05,771 django.request log_response 246 Forbidden: /api/users/
WARNING 2025-09-19 08:19:05,773 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 08:19:14,343 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:19:14,354 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 08:19:20,953 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:19:20,954 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 08:19:20,954 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 08:19:20,965 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
WARNING 2025-09-19 08:19:20,977 django.request log_response 246 Forbidden: /api/users/
INFO 2025-09-19 08:19:20,982 django.server log_message 212 "GET /api/attendance/ HTTP/1.1" 200 2
INFO 2025-09-19 08:19:20,986 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
WARNING 2025-09-19 08:19:20,987 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 08:19:20,988 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 08:19:21,427 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:19:21,428 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:19:21,451 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 08:19:21,453 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 08:19:24,212 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:19:24,224 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 08:21:02,517 django.server log_message 212 "OPTIONS /api/auth/user/ HTTP/1.1" 200 0
INFO 2025-09-19 08:21:02,528 django.server log_message 212 "GET /api/auth/user/ HTTP/1.1" 200 147
INFO 2025-09-19 08:21:02,949 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 08:21:02,950 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:21:02,950 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 08:21:02,955 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
INFO 2025-09-19 08:21:02,955 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 08:21:02,955 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 08:21:02,957 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:21:02,964 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
INFO 2025-09-19 08:21:02,976 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
WARNING 2025-09-19 08:21:02,986 django.request log_response 246 Forbidden: /api/users/
INFO 2025-09-19 08:21:02,989 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
WARNING 2025-09-19 08:21:02,990 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 08:21:02,990 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 08:21:02,998 django.server log_message 212 "GET /api/attendance/ HTTP/1.1" 200 2
INFO 2025-09-19 08:21:03,007 django.server log_message 212 "GET /api/attendance/ HTTP/1.1" 200 2
INFO 2025-09-19 08:21:03,008 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
WARNING 2025-09-19 08:21:03,009 django.request log_response 246 Forbidden: /api/users/
WARNING 2025-09-19 08:21:03,011 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 08:25:22,367 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:25:22,373 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 08:25:23,536 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 08:25:23,538 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
INFO 2025-09-19 08:25:23,538 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:25:23,539 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 08:25:23,549 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
WARNING 2025-09-19 08:25:23,550 django.request log_response 246 Forbidden: /api/users/
INFO 2025-09-19 08:25:23,550 django.server log_message 212 "GET /api/students/ HTTP/1.1" 200 63796
WARNING 2025-09-19 08:25:23,552 django.server log_message 212 "GET /api/users/ HTTP/1.1" 403 63
INFO 2025-09-19 08:25:23,553 django.server log_message 212 "GET /api/attendance/ HTTP/1.1" 200 2
INFO 2025-09-19 08:25:23,698 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:25:23,700 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 08:25:23,707 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 08:25:23,708 django.server log_message 212 "GET /api/classes/ HTTP/1.1" 200 467
INFO 2025-09-19 09:17:15,042 django.utils.autoreload run_with_reloader 667 Watching for file changes with StatReloader
INFO 2025-09-19 09:17:25,339 django.server log_message 212 "OPTIONS /api/auth/user/ HTTP/1.1" 200 0
WARNING 2025-09-19 09:17:25,816 django.request log_response 246 Unauthorized: /api/auth/user/
WARNING 2025-09-19 09:17:25,816 django.server log_message 212 "GET /api/auth/user/ HTTP/1.1" 401 183
INFO 2025-09-19 09:17:25,816 django.server log_message 212 "OPTIONS /api/auth/token/refresh/ HTTP/1.1" 200 0
INFO 2025-09-19 09:17:25,822 django.server log_message 212 "POST /api/auth/token/refresh/ HTTP/1.1" 200 241
INFO 2025-09-19 09:17:25,824 django.server log_message 212 "OPTIONS /api/auth/user/ HTTP/1.1" 200 0
INFO 2025-09-19 09:17:25,832 django.server log_message 212 "GET /api/auth/user/ HTTP/1.1" 200 147
INFO 2025-09-19 09:17:25,858 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 09:17:25,858 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
INFO 2025-09-19 09:17:25,860 django.server log_message 212 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-09-19 09:17:25,860 django.server log_message 212 "OPTIONS /api/attendance/ HTTP/1.1" 200 0
INFO 2025-09-19 09:17:25,862 django.server log_message 212 "OPTIONS /api/classes/ HTTP/1.1" 200 0
INFO 2025-09-19 09:17:25,862 django.server log_message 212 "OPTIONS /api/students/ HTTP/1.1" 200 0
