INFO 2025-09-19 08:18:52,044 api.fee_operations post 173 Successful login for user: principal
INFO 2025-09-19 09:17:59,540 api.fee_operations post 173 Successful login for user: student1
ERROR 2025-09-19 10:38:36,800 api.fee_operations post 193 Login error: No active account found with the given credentials
ERROR 2025-09-19 10:39:17,730 api.fee_operations post 193 Login error: No active account found with the given credentials
INFO 2025-09-19 10:44:04,025 api.fee_operations post 173 Successful login for user: principal
INFO 2025-09-19 10:53:09,751 api.fee_operations post 173 Successful login for user: teacher1
INFO 2025-09-19 10:53:34,157 api.fee_operations post 173 Successful login for user: principal
INFO 2025-09-19 10:54:10,616 api.fee_operations post 173 Successful login for user: teacher1
INFO 2025-09-19 10:55:42,098 api.fee_operations post 173 Successful login for user: principal
INFO 2025-09-19 10:59:21,191 api.fee_operations post 173 Successful login for user: teacher1
INFO 2025-09-19 13:42:16,866 api.fee_operations post 173 Successful login for user: principal
INFO 2025-09-19 13:42:38,510 api.fee_operations post 173 Successful login for user: teacher1
INFO 2025-09-19 13:46:25,091 api.fee_operations post 173 Successful login for user: student1
INFO 2025-09-19 13:46:42,788 api.fee_operations post 173 Successful login for user: teacher1
INFO 2025-09-19 13:46:56,376 api.fee_operations post 173 Successful login for user: principal
INFO 2025-09-19 13:54:12,215 api.fee_operations post 173 Successful login for user: teacher1
INFO 2025-09-19 13:55:38,705 api.fee_operations post 173 Successful login for user: teacher1
ERROR 2025-09-19 13:59:54,740 api.fee_operations post 193 Login error: No active account found with the given credentials
ERROR 2025-09-19 14:01:13,665 api.fee_operations post 193 Login error: No active account found with the given credentials
ERROR 2025-09-19 14:01:23,516 api.fee_operations post 193 Login error: JSON parse error - Expecting value: line 1 column 1 (char 0)
INFO 2025-09-19 14:13:48,431 api.fee_operations post 173 Successful login for user: student1
WARNING 2025-09-19 14:14:14,885 api.fee_operations post 175 Login attempt with non-existent username: student1@springfield.edu.in
INFO 2025-09-19 14:19:25,543 api.fee_operations save 350 Fee new saved for student oliver_johnson_0
INFO 2025-09-19 14:19:25,551 api.fee_operations save 350 Fee new saved for student oliver_johnson_0
INFO 2025-09-19 14:19:25,558 api.fee_operations save 350 Fee new saved for student oliver_johnson_0
INFO 2025-09-19 14:19:25,563 api.fee_operations save 350 Fee new saved for student ian_johnson_1
INFO 2025-09-19 14:19:25,569 api.fee_operations save 350 Fee new saved for student ian_johnson_1
INFO 2025-09-19 14:19:25,575 api.fee_operations save 350 Fee new saved for student ian_johnson_1
INFO 2025-09-19 14:19:25,581 api.fee_operations save 350 Fee new saved for student ian_johnson_1
INFO 2025-09-19 14:19:25,587 api.fee_operations save 350 Fee new saved for student nina_brown_2
INFO 2025-09-19 14:19:25,593 api.fee_operations save 350 Fee new saved for student nina_brown_2
INFO 2025-09-19 14:19:25,599 api.fee_operations save 350 Fee new saved for student nina_brown_2
INFO 2025-09-19 14:19:25,605 api.fee_operations save 350 Fee new saved for student nina_brown_2
INFO 2025-09-19 14:19:25,612 api.fee_operations save 350 Fee new saved for student fiona_garcia_3
INFO 2025-09-19 14:19:25,618 api.fee_operations save 350 Fee new saved for student fiona_garcia_3
INFO 2025-09-19 14:19:25,624 api.fee_operations save 350 Fee new saved for student fiona_garcia_3
INFO 2025-09-19 14:19:25,634 api.fee_operations save 350 Fee new saved for student laura_johnson_4
INFO 2025-09-19 14:19:25,640 api.fee_operations save 350 Fee new saved for student laura_johnson_4
INFO 2025-09-19 14:19:25,646 api.fee_operations save 350 Fee new saved for student laura_johnson_4
INFO 2025-09-19 14:19:25,653 api.fee_operations save 350 Fee new saved for student laura_johnson_4
INFO 2025-09-19 14:19:25,659 api.fee_operations save 350 Fee new saved for student laura_brown_5
INFO 2025-09-19 14:19:25,667 api.fee_operations save 350 Fee new saved for student laura_brown_5
INFO 2025-09-19 14:19:25,673 api.fee_operations save 350 Fee new saved for student laura_brown_5
INFO 2025-09-19 14:19:25,679 api.fee_operations save 350 Fee new saved for student laura_brown_5
INFO 2025-09-19 14:19:25,685 api.fee_operations save 350 Fee new saved for student julia_taylor_6
INFO 2025-09-19 14:19:25,691 api.fee_operations save 350 Fee new saved for student julia_taylor_6
INFO 2025-09-19 14:19:25,696 api.fee_operations save 350 Fee new saved for student ian_harris_7
INFO 2025-09-19 14:19:25,702 api.fee_operations save 350 Fee new saved for student ian_harris_7
INFO 2025-09-19 14:19:25,707 api.fee_operations save 350 Fee new saved for student ian_harris_7
INFO 2025-09-19 14:19:25,713 api.fee_operations save 350 Fee new saved for student laura_wilson_8
INFO 2025-09-19 14:19:25,719 api.fee_operations save 350 Fee new saved for student laura_wilson_8
INFO 2025-09-19 14:19:25,724 api.fee_operations save 350 Fee new saved for student fiona_harris_9
INFO 2025-09-19 14:19:25,729 api.fee_operations save 350 Fee new saved for student fiona_harris_9
INFO 2025-09-19 14:19:25,737 api.fee_operations save 350 Fee new saved for student fiona_harris_9
INFO 2025-09-19 14:19:25,743 api.fee_operations save 350 Fee new saved for student fiona_harris_9
INFO 2025-09-19 14:19:25,748 api.fee_operations save 350 Fee new saved for student helen_brown_10
INFO 2025-09-19 14:19:25,753 api.fee_operations save 350 Fee new saved for student helen_brown_10
